V,A,v
-386.0,1.8918463778522328e-05,0.01
-385.0,1.8918463778522328e-05,0.01
-384.0,1.8918463778522328e-05,0.01
-383.0,1.8918463778522328e-05,0.01
-382.0,1.8918463778522328e-05,0.01
-381.0,1.8918463778522328e-05,0.01
-380.0,1.8918463778522328e-05,0.01
-379.0,1.8918463778522328e-05,0.01
-378.0,1.8918463778522328e-05,0.01
-377.0,1.8918463778522328e-05,0.01
-376.0,1.8918463778522328e-05,0.01
-375.0,1.8918463778522328e-05,0.01
-374.0,1.8918463778522328e-05,0.01
-373.0,1.8918463778522328e-05,0.01
-372.0,1.8918463778522328e-05,0.01
-371.0,1.8918463778522328e-05,0.01
-370.0,1.8918463778522328e-05,0.01
-369.0,1.8918463778522328e-05,0.01
-368.0,1.8918463778522328e-05,0.01
-367.0,1.8918463778522328e-05,0.01
-366.0,1.8918463778522328e-05,0.01
-365.0,1.8918463778522328e-05,0.01
-364.0,1.8918463778522328e-05,0.01
-363.0,1.8918463778522328e-05,0.01
-362.0,1.8918463778522328e-05,0.01
-361.0,1.8918463778522328e-05,0.01
-360.0,1.8918463778522328e-05,0.01
-359.0,1.8918463778522328e-05,0.01
-358.0,1.8918463778522328e-05,0.01
-357.0,1.8918463778522328e-05,0.01
-356.0,1.8918463778522328e-05,0.01
-355.0,1.8918463778522328e-05,0.01
-354.0,1.8918463778522328e-05,0.01
-353.0,1.8918463778522328e-05,0.01
-352.0,1.8918463778522328e-05,0.01
-351.0,1.8918463778522328e-05,0.01
-350.0,1.8918463778522328e-05,0.01
-349.0,1.8918463778522328e-05,0.01
-348.0,1.8918463778522328e-05,0.01
-347.0,1.8918463778522328e-05,0.01
-346.0,1.8918463778522328e-05,0.01
-345.0,1.8918463778522328e-05,0.01
-344.0,1.8918463778522328e-05,0.01
-343.0,1.8918463778522328e-05,0.01
-342.0,1.8918463778522328e-05,0.01
-341.0,1.8918463778522328e-05,0.01
-340.0,1.8918463778522328e-05,0.01
-339.0,1.8918463778522328e-05,0.01
-338.0,1.8918463778522328e-05,0.01
-337.0,1.8918463778522328e-05,0.01
-336.0,1.8918463778522328e-05,0.01
-335.0,1.8918463778522328e-05,0.01
-334.0,1.8918463778522328e-05,0.01
-333.0,1.8918463778522328e-05,0.01
-332.0,1.8918463778522328e-05,0.01
-331.0,1.8918463778522328e-05,0.01
-330.0,1.8918463778522328e-05,0.01
-329.0,1.8918463778522328e-05,0.01
-328.0,1.8918463778522328e-05,0.01
-327.0,1.8918463778522328e-05,0.01
-326.0,1.8918463778522328e-05,0.01
-325.0,1.8918463778522328e-05,0.01
-324.0,1.8918463778522328e-05,0.01
-323.0,1.8918463778522328e-05,0.01
-322.0,1.8918463778522328e-05,0.01
-321.0,1.8918463778522328e-05,0.01
-320.0,1.8918463778522328e-05,0.01
-319.0,1.8918463778522328e-05,0.01
-318.0,1.8918463778522328e-05,0.01
-317.0,1.8918463778522328e-05,0.01
-316.0,1.8918463778522328e-05,0.01
-315.0,1.8918463778522328e-05,0.01
-314.0,1.8918463778522328e-05,0.01
-313.0,1.8918463778522328e-05,0.01
-312.0,1.8918463778522328e-05,0.01
-311.0,1.8918463778522328e-05,0.01
-310.0,1.8918463778522328e-05,0.01
-309.0,1.8918463778522328e-05,0.01
-308.0,1.8918463778522328e-05,0.01
-307.0,1.8918463778522328e-05,0.01
-306.0,1.8918463778522328e-05,0.01
-305.0,1.8918463778522328e-05,0.01
-304.0,1.8918463778522328e-05,0.01
-303.0,1.8918463778522328e-05,0.01
-302.0,1.8918463778522328e-05,0.01
-301.0,1.8918463778522328e-05,0.01
-300.0,1.8918463778522328e-05,0.01
-299.0,1.8918463778522328e-05,0.01
-298.0,1.8918463778522328e-05,0.01
-297.0,1.8918463778522328e-05,0.01
-296.0,1.8918463778522328e-05,0.01
-295.0,1.8918463778522328e-05,0.01
-294.0,1.8918463778522328e-05,0.01
-293.0,1.8918463778522328e-05,0.01
-292.0,1.8918463778522328e-05,0.01
-291.0,1.8918463778522328e-05,0.01
-290.0,1.8918463778522328e-05,0.01
-289.0,1.8918463778522328e-05,0.01
-288.0,1.8918463778522328e-05,0.01
-287.0,1.8918463778522328e-05,0.01
-286.0,1.8918463778522328e-05,0.01
-285.0,1.8918463778522328e-05,0.01
-284.0,1.8918463778522328e-05,0.01
-283.0,1.8918463778522328e-05,0.01
-282.0,1.8918463778522328e-05,0.01
-281.0,1.8918463778522328e-05,0.01
-280.0,1.8918463778522328e-05,0.01
-279.0,1.8918463778522328e-05,0.01
-278.0,1.8918463778522328e-05,0.01
-277.0,1.8918463778522328e-05,0.01
-276.0,1.8918463778522328e-05,0.01
-275.0,1.8918463778522328e-05,0.01
-274.0,1.8918463778522328e-05,0.01
-273.0,1.8918463778522328e-05,0.01
-272.0,1.8918463778522328e-05,0.01
-271.0,1.8918463778522328e-05,0.01
-270.0,1.8918463778522328e-05,0.01
-269.0,1.8918463778522328e-05,0.01
-268.0,1.8918463778522328e-05,0.01
-267.0,1.8918463778522328e-05,0.01
-266.0,1.8918463778522328e-05,0.01
-265.0,1.8918463778522328e-05,0.01
-264.0,1.8918463778522328e-05,0.01
-263.0,1.8918463778522328e-05,0.01
-262.0,1.8918463778522328e-05,0.01
-261.0,1.8918463778522328e-05,0.01
-260.0,1.8918463778522328e-05,0.01
-259.0,1.8918463778522328e-05,0.01
-258.0,1.8918463778522328e-05,0.01
-257.0,1.8918463778522328e-05,0.01
-256.0,1.8918463778522328e-05,0.01
-255.0,1.8918463778522328e-05,0.01
-254.0,1.8918463778522328e-05,0.01
-253.0,1.8918463778522328e-05,0.01
-252.0,1.8918463778522328e-05,0.01
-251.0,1.8918463778522328e-05,0.01
-250.0,1.8918463778522328e-05,0.01
-249.0,1.8918463778522328e-05,0.01
-248.0,1.8918463778522328e-05,0.01
-247.0,1.8918463778522328e-05,0.01
-246.0,1.8918463778522328e-05,0.01
-245.0,1.8918463778522328e-05,0.01
-244.0,1.8918463778522328e-05,0.01
-243.0,1.8918463778522328e-05,0.01
-242.0,1.8918463778522328e-05,0.01
-241.0,1.8918463778522328e-05,0.01
-240.0,1.8918463778522328e-05,0.01
-239.0,1.8918463778522328e-05,0.01
-238.0,1.8918463778522328e-05,0.01
-237.0,1.8918463778522328e-05,0.01
-236.0,1.8918463778522328e-05,0.01
-235.0,1.8918463778522328e-05,0.01
-234.0,1.8918463778522328e-05,0.01
-233.0,1.8918463778522328e-05,0.01
-232.0,1.8918463778522328e-05,0.01
-231.0,1.8918463778522328e-05,0.01
-230.0,1.8918463778522328e-05,0.01
-229.0,1.8918463778522328e-05,0.01
-228.0,1.8918463778522328e-05,0.01
-227.0,1.8918463778522328e-05,0.01
-226.0,1.8918463778522328e-05,0.01
-225.0,1.8918463778522328e-05,0.01
-224.0,1.8918463778522328e-05,0.01
-223.0,1.8918463778522328e-05,0.01
-222.0,1.8918463778522328e-05,0.01
-221.0,1.8918463778522328e-05,0.01
-220.0,1.8918463778522328e-05,0.01
-219.0,1.8918463778522328e-05,0.01
-218.0,1.8918463778522328e-05,0.01
-217.0,1.8918463778522328e-05,0.01
-216.0,1.8918463778522328e-05,0.01
-215.0,1.8918463778522328e-05,0.01
-214.0,1.8918463778522328e-05,0.01
-213.0,1.8918463778522328e-05,0.01
-212.0,1.8918463778522328e-05,0.01
-211.0,1.8918463778522328e-05,0.01
-210.0,1.8918463778522328e-05,0.01
-209.0,1.8918463778522328e-05,0.01
-208.0,1.8918463778522328e-05,0.01
-207.0,1.8918463778522328e-05,0.01
-206.0,1.8918463778522328e-05,0.01
-205.0,1.8918463778522328e-05,0.01
-204.0,1.8918463778522328e-05,0.01
-203.0,1.8918463778522328e-05,0.01
-202.0,1.8918463778522328e-05,0.01
-201.0,1.8918463778522328e-05,0.01
-200.0,1.8918463778522328e-05,0.01
-199.0,1.8918463778522328e-05,0.01
-198.0,1.8918463778522328e-05,0.01
-197.0,1.8918463778522328e-05,0.01
-196.0,1.8918463778522328e-05,0.01
-195.0,1.8918463778522328e-05,0.01
-194.0,1.8918463778522328e-05,0.01
-193.0,1.8918463778522328e-05,0.01
-192.0,1.8918463778522328e-05,0.01
-191.0,1.8918463778522328e-05,0.01
-190.0,1.8918463778522328e-05,0.01
-189.0,1.8918463778522328e-05,0.01
-188.0,1.8918463778522328e-05,0.01
-187.0,1.8918463778522328e-05,0.01
-186.0,1.8918463778522328e-05,0.01
-185.0,1.8918463778522328e-05,0.01
-184.0,1.8918463778522328e-05,0.01
-183.0,1.8918463778522328e-05,0.01
-182.0,1.8918463778522328e-05,0.01
-181.0,1.8918463778522328e-05,0.01
-180.0,1.8918463778522328e-05,0.01
-179.0,1.8918463778522328e-05,0.01
-178.0,1.8918463778522328e-05,0.01
-177.0,1.8918463778522328e-05,0.01
-176.0,1.8918463778522328e-05,0.01
-175.0,1.8918463778522328e-05,0.01
-174.0,1.8918463778522328e-05,0.01
-173.0,1.8918463778522328e-05,0.01
-172.0,1.8918463778522328e-05,0.01
-171.0,1.8918463778522328e-05,0.01
-170.0,1.8918463778522328e-05,0.01
-169.0,1.8918463778522328e-05,0.01
-168.0,1.8918463778522328e-05,0.01
-167.0,1.8918463778522328e-05,0.01
-166.0,1.8918463778522328e-05,0.01
-165.0,1.8918463778522328e-05,0.01
-164.0,1.8918463778522328e-05,0.01
-163.0,1.8918463778522328e-05,0.01
-162.0,1.8918463778522328e-05,0.01
-161.0,1.8918463778522328e-05,0.01
-160.0,1.8918463778522328e-05,0.01
-159.0,1.8918463778522328e-05,0.01
-158.0,1.8918463778522328e-05,0.01
-157.0,1.8918463778522328e-05,0.01
-156.0,1.8918463778522328e-05,0.01
-155.0,1.8918463778522328e-05,0.01
-154.0,1.8918463778522328e-05,0.01
-153.0,1.8918463778522328e-05,0.01
-152.0,1.8918463778522328e-05,0.01
-151.0,1.8918463778522328e-05,0.01
-150.0,1.8918463778522328e-05,0.01
-149.0,1.8918463778522328e-05,0.01
-148.0,1.8918463778522328e-05,0.01
-147.0,1.8918463778522328e-05,0.01
-146.0,1.8918463778522328e-05,0.01
-145.0,1.8918463778522328e-05,0.01
-144.0,1.8918463778522328e-05,0.01
-143.0,1.8918463778522328e-05,0.01
-142.0,1.8918463778522328e-05,0.01
-141.0,1.8918463778522328e-05,0.01
-140.0,1.8918463778522328e-05,0.01
-139.0,1.8918463778522328e-05,0.01
-138.0,1.8918463778522328e-05,0.01
-137.0,1.8918463778522328e-05,0.01
-136.0,1.8918463778522328e-05,0.01
-135.0,1.8918463778522328e-05,0.01
-134.0,1.8918463778522328e-05,0.01
-133.0,1.8918463778522328e-05,0.01
-132.0,1.8918463778522328e-05,0.01
-131.0,1.8918463778522328e-05,0.01
-130.0,1.8918463778522328e-05,0.01
-129.0,1.8918463778522328e-05,0.01
-128.0,1.8918463778522328e-05,0.01
-127.0,1.8918463778522328e-05,0.01
-126.0,1.8918463778522328e-05,0.01
-125.0,1.8918463778522328e-05,0.01
-124.0,1.8918463778522328e-05,0.01
-123.0,1.8918463778522328e-05,0.01
-122.0,1.8918463778522328e-05,0.01
-121.0,1.8918463778522328e-05,0.01
-120.0,1.8918463778522328e-05,0.01
-119.0,1.8918463778522328e-05,0.01
-118.0,1.8918463778522328e-05,0.01
-117.0,1.8918463778522328e-05,0.01
-116.0,1.8918463778522328e-05,0.01
-115.0,1.8918463778522328e-05,0.01
-114.0,1.8918463778522328e-05,0.01
-113.0,1.8918463778522328e-05,0.01
-112.0,1.8918463778522328e-05,0.01
-111.0,1.8918463778522328e-05,0.01
-110.0,1.8918463778522328e-05,0.01
-109.0,1.8918463778522328e-05,0.01
-108.0,1.8918463778522328e-05,0.01
-107.0,1.8918463778522328e-05,0.01
-106.0,1.8918463778522328e-05,0.01
-105.0,1.8918463778522328e-05,0.01
-104.0,1.8918463778522328e-05,0.01
-103.0,1.8918463778522328e-05,0.01
-102.0,1.8918463778522328e-05,0.01
-101.0,1.8918463778522328e-05,0.01
-100.0,1.8918463778522328e-05,0.01
-99.0,1.8918463778522328e-05,0.01
-98.0,1.8918463778522328e-05,0.01
-97.0,1.8918463778522328e-05,0.01
-96.0,1.8918463778522328e-05,0.01
-95.0,1.8918463778522328e-05,0.01
-94.0,1.8918463778522328e-05,0.01
-93.0,1.8918463778522328e-05,0.01
-92.0,1.8918463778522328e-05,0.01
-91.0,1.8918463778522328e-05,0.01
-90.0,1.8918463778522328e-05,0.01
-89.0,1.8918463778522328e-05,0.01
-88.0,1.8918463778522328e-05,0.01
-87.0,1.8918463778522328e-05,0.01
-86.0,1.8918463778522328e-05,0.01
-85.0,1.8918463778522328e-05,0.01
-84.0,1.8918463778522328e-05,0.01
-83.0,1.8918463778522328e-05,0.01
-82.0,1.8918463778522328e-05,0.01
-81.0,1.8918463778522328e-05,0.01
-80.0,1.8918463778522328e-05,0.01
-79.0,1.8918463778522328e-05,0.01
-78.0,1.8918463778522328e-05,0.01
-77.0,1.8918463778522328e-05,0.01
-76.0,1.8918463778522328e-05,0.01
-75.0,1.8918463778522328e-05,0.01
-74.0,1.8918463778522328e-05,0.01
-73.0,1.8918463778522328e-05,0.01
-72.0,1.8918463778522328e-05,0.01
-71.0,1.8918463778522328e-05,0.01
-70.0,1.8918463778522328e-05,0.01
-69.0,1.8918463778522328e-05,0.01
-68.0,1.8918463778522328e-05,0.01
-67.0,1.8918463778522328e-05,0.01
-66.0,1.8918463778522328e-05,0.01
-65.0,1.8918463778522328e-05,0.01
-64.0,1.8918463778522328e-05,0.01
-63.0,1.8918463778522328e-05,0.01
-62.0,1.8918463778522328e-05,0.01
-61.0,1.8918463778522328e-05,0.01
-60.0,1.8918463778522328e-05,0.01
-59.0,1.8918463778522328e-05,0.01
-58.0,1.8918463778522328e-05,0.01
-57.0,1.8918463778522328e-05,0.01
-56.0,1.8918463778522328e-05,0.01
-55.0,1.8918463778522328e-05,0.01
-54.0,1.8918463778522328e-05,0.01
-53.0,1.8918463778522328e-05,0.01
-52.0,1.8918463778522328e-05,0.01
-51.0,1.8918463778522328e-05,0.01
-50.0,1.8918463778522328e-05,0.01
-49.0,1.8918463778522328e-05,0.01
-48.0,1.8918463778522328e-05,0.01
-47.0,1.8918463778522328e-05,0.01
-46.0,1.8918463778522328e-05,0.01
-45.0,1.8918463778522328e-05,0.01
-44.0,1.8918463778522328e-05,0.01
-43.0,1.8918463778522328e-05,0.01
-42.0,1.8918463778522328e-05,0.01
-41.0,1.8918463778522328e-05,0.01
-40.0,1.8918463778522328e-05,0.01
-39.0,1.8918463778522328e-05,0.01
-38.0,1.8918463778522328e-05,0.01
-37.0,1.8918463778522328e-05,0.01
-36.0,1.8918463778522328e-05,0.01
-35.0,1.8918463778522328e-05,0.01
-34.0,1.8918463778522328e-05,0.01
-33.0,1.8918463778522328e-05,0.01
-32.0,1.8918463778522328e-05,0.01
-31.0,1.8918463778522328e-05,0.01
-30.0,1.8918463778522328e-05,0.01
-29.0,1.8918463778522328e-05,0.01
-28.0,1.8918463778522328e-05,0.01
-27.0,1.8918463778522328e-05,0.01
-26.0,1.8918463778522328e-05,0.01
-25.0,1.8918463778522328e-05,0.01
-24.0,1.8918463778522328e-05,0.01
-23.0,1.8918463778522328e-05,0.01
-22.0,1.8918463778522328e-05,0.01
-21.0,1.8918463778522328e-05,0.01
-20.0,1.8918463778522328e-05,0.01
-19.0,1.8918463778522328e-05,0.01
-18.0,1.8918463778522328e-05,0.01
-17.0,1.8918463778522328e-05,0.01
-16.0,1.8918463778522328e-05,0.01
-15.0,1.8918463778522328e-05,0.01
-14.0,1.8918463778522328e-05,0.01
-13.0,1.8918463778522328e-05,0.01
-12.0,1.8918463778522328e-05,0.01
-11.0,1.8918463778522328e-05,0.01
-10.0,1.8918463778522328e-05,0.01
-9.0,1.8918463778522328e-05,0.01
-8.0,1.8918463778522328e-05,0.01
-7.0,1.8918463778522328e-05,0.01
-6.0,1.8918463778522328e-05,0.01
-5.0,1.8918463778522328e-05,0.01
-4.0,1.8918463778522328e-05,0.01
-3.0,1.8918463778522328e-05,0.01
-2.0,1.8918463778522328e-05,0.01
-1.0,1.8918463778522328e-05,0.01
0.0,1.8918463778522328e-05,0.01
1.0,1.8918463778522328e-05,0.01
2.0,1.8918463778522328e-05,0.01
3.0,1.8918463778522328e-05,0.01
4.0,1.8918463778522328e-05,0.01
5.0,1.8918463778522328e-05,0.01
6.0,1.8918463778522328e-05,0.01
7.0,1.8918463778522328e-05,0.01
8.0,1.8918463778522328e-05,0.01
9.0,1.8918463778522328e-05,0.01
10.0,1.8918463778522328e-05,0.01
11.0,1.8918463778522328e-05,0.01
12.0,1.8918463778522328e-05,0.01
13.0,1.8918463778522328e-05,0.01
14.0,1.8918463778522328e-05,0.01
15.0,1.8918463778522328e-05,0.01
16.0,1.8918463778522328e-05,0.01
17.0,1.8918463778522328e-05,0.01
18.0,1.8918463778522328e-05,0.01
19.0,1.8918463778522328e-05,0.01
20.0,1.8918463778522328e-05,0.01
21.0,1.8918463778522328e-05,0.01
22.0,1.8918463778522328e-05,0.01
23.0,1.8918463778522328e-05,0.01
24.0,1.8918463778522328e-05,0.01
25.0,1.8918463778522328e-05,0.01
26.0,1.8918463778522328e-05,0.01
27.0,1.8918463778522328e-05,0.01
28.0,1.8918463778522328e-05,0.01
29.0,1.8918463778522328e-05,0.01
30.0,1.8918463778522328e-05,0.01
31.0,1.8918463778522328e-05,0.01
32.0,1.8918463778522328e-05,0.01
33.0,1.8918463778522328e-05,0.01
34.0,1.8918463778522328e-05,0.01
35.0,1.8918463778522328e-05,0.01
36.0,1.8918463778522328e-05,0.01
37.0,1.8918463778522328e-05,0.01
38.0,1.8918463778522328e-05,0.01
39.0,1.8918463778522328e-05,0.01
40.0,1.8918463778522328e-05,0.01
41.0,1.8918463778522328e-05,0.01
42.0,1.8918463778522328e-05,0.01
43.0,1.8918463778522328e-05,0.01
44.0,1.8918463778522328e-05,0.01
45.0,1.8918463778522328e-05,0.01
46.0,1.8918463778522328e-05,0.01
47.0,1.8918463778522328e-05,0.01
48.0,1.8918463778522328e-05,0.01
49.0,1.8918463778522328e-05,0.01
50.0,1.8918463778522328e-05,0.01
51.0,1.8918463778522328e-05,0.01
52.0,1.8918463778522328e-05,0.01
53.0,1.8918463778522328e-05,0.01
54.0,1.8918463778522328e-05,0.01
55.0,1.8918463778522328e-05,0.01
56.0,1.8918463778522328e-05,0.01
57.0,1.8918463778522328e-05,0.01
58.0,1.8918463778522328e-05,0.01
59.0,1.8918463778522328e-05,0.01
60.0,1.8918463778522328e-05,0.01
61.0,1.8918463778522328e-05,0.01
62.0,1.8918463778522328e-05,0.01
63.0,1.8918463778522328e-05,0.01
64.0,1.8918463778522328e-05,0.01
65.0,1.8918463778522328e-05,0.01
66.0,1.8918463778522328e-05,0.01
67.0,1.8918463778522328e-05,0.01
68.0,1.8918463778522328e-05,0.01
